DAT|DATA
1.1|Masław Mieczysław Mieczysława Mieszko
2.1|Abel Izydor Makary Odil Strzeżysław
3.1|Arletta Dan Danisz Danuta Enoch Genowefa Piotr Włościsława
4.1|Angelika Aniela Benedykta Benita Dobromir Dobrymir Eugeniusz Grzegorz Izabela Leonia Rygobert Tytus
5.1|Edward Emilian Emiliusz Hanna Symeon Szymon Telesfor Włościbor
6.1|Andrzej Balcer Baltazar Bolemir Epifania Kacper Kasper Melchior
7.1|Chociesław Izydor Julian Lucjan Walenty
8.1|Erhard Mścisław Seweryn
9.1|Antoni Bazylissa Borzymir Julian Julianna Marcelina Marcjanna
10.1|Agaton Dobrosław Jan Nikanor Paweł Wilhelm
11.1|Feliks Hilary Honorata Hygin Krzesimir Matylda Mechtylda
12.1|Antoni Arkadiusz Arkady Benedykt Czech Czechasz Czechoń Czesław Czesława Ernest Ernestyn Greta Reinhold Tycjan
13.1|Bogumił Bogusąd Bogusława Godfryd Gotfryd Leoncjusz Melania Weronika
14.1|Feliks Hilary Odo Radogost
15.1|Aleksander Dąbrówka Dobrawa Domasław Domosław Izydor Makary Maur Paweł
16.1|Marcel Waleriusz Włodzimierz
17.1|Antoni Jan Rościsław
18.1|Bogumił Jaropełk Krystyna Liberata Małgorzata Piotr Pryska
19.1|Andrzej Bernard Erwin Erwina Eufemia Henryk Kanut Mariusz Marta Matylda Mechtylda Pia Racimir Sara
20.1|Dobiegniew Fabian Sebastian
21.1|Agnieszka Epifani Jarosław Jarosława Jerosława Marcela
22.1|Anastazy Dobromysł Gaudencjusz Gaudenty Marta Wincenty
23.1|Emerencja Ildefons Jan Klemens Maria Rajmund Rajmunda Wrócisława
24.1|Chwalibóg Felicja Mirogniew Rafaela Rafał Tymoteusz
25.1|Miłosz Miłowan Miłowit Paweł Tacjanna Tatiana
26.1|Paula Paulina Polikarp Skarbimir Wanda
27.1|Angelika Chryzostom Ilona Julian Przybysław
28.1|Agnieszka Augustyn Flawian Ildefons Julian Karol Leonidas Piotr Radomir Roger Waleriusz
29.1|Gilda Hanna Salezy Walerian Waleriana Waleriusz Zdzisław
30.1|Adelajda Feliks Gerard Gerarda Gerhard Hiacynta Maciej Marcin Martyna Sebastian
31.1|Cyrus Euzebiusz Jan Ksawery Ludwik Marceli Marcelin Marcelina Piotr Spycigniew Wirgiliusz
1.2|Bryda Brygida Dobrocha Dobrochna Iga Ignacja Ignacy Paweł Siemirad
2.2|Joanna Korneliusz Maria Miłosława
3.2|Błażej Hipolit Hipolita Laurencjusz Maksym Oskar Stefan Telimena Uniemysł Wawrzyniec
4.2|Andrzej Gilbert Jan Joanna Józef Mariusz Weronika Witosława
5.2|Adelajda Aga Agata Albin Izydor Jakub Jan Justynian Paweł Piotr Strzeżysława
6.2|Angel Angelus Antoni Bogdana Bohdan Bohdana Dorota Ksenia Szymon Tytus
7.2|Romuald Ryszard Sulisław
8.2|Gniewomir Gniewosz Honorat Jan Ksenofont Lucjusz Paweł Piotr Salomon Sebastian
9.2|Apolonia Bernard Cyryl Eryk Eryka Gorzysław Mariusz Nikifor Rajnold
10.2|Elwira Gabriel Jacek Jacenty Scholastyka Tomisława
11.2|Adolf Adolfa Adolfina Alf Bernadetta Dezydery Eufrozyna Lucjan Łazarz Maria Olgierd Świętomira
12.2|Aleksy Benedykt Eulalia Julian Laurenty Modest Nora Radzim Trzebisława
13.2|Benigna Grzegorz Jordan Kastor Katarzyna Klemens Toligniew
14.2|Adolf Adolfa Adolfina Alf Cyryl Dobiesława Dobisława Józef Józefa Konrad Konrada Krystyna Lilian Liliana Mikołaj Niemir Niemira Walenty Zenon Zenona
15.2|Faustyn Georgia Georgina Jordan Jowita Józef Klaudiusz Przybyrad Sewer
16.2|Bernard Dan Danisz Danuta Julianna Symeon
17.2|Donat Donata Franciszek Izydor Julian Konstanty Łukasz Niegomir Sylwin Zbigniew Zbyszko
18.2|Albert Alberta Albertyna Fryda Konstancja Krystiana Maksym Sawa Sylwan Sylwana Symeon Więcesława Zula Zuzanna
19.2|Arnold Arnolf Bądzisława Gabin Henryk Konrad Konrada Leoncjusz Manswet Marceli
20.2|Euchariusz Eustachiusz Eustachy Leon Ludmiła Ludomiła Ostap Siestrzewit
21.2|Eleonora Feliks Fortunat Kiejstut Teodor Wyszeniega
22.2|Małgorzata Nikifor Piotr Wiktor Wiktoriusz Wrócisław
23.2|Bądzimir Damian Florentyn Łazarz Piotr Roma Romana Seweryn
24.2|Bogurad Bogusz Boguta Bohusz Lucjusz Maciej Piotr
25.2|Bolebor Cezary Konstancjusz Maciej Małgorzata Modest Nicefor
26.2|Aleksander Bogumił Cezariusz Dionizy Mirosław Nestor
27.2|Aleksander Anastazja Auksencjusz Gabriel Gabriela Honoryna Leander Leonard Sierosława
28.2|Chwalibóg Józef Makary Nadbor Roman
1.3|Albin Antoni Antonina Budzisław Budzisz Eudokia Eudoksja Ewdokia Feliks Herakles Herkules Jewdocha Joanna Józef Nikifor Piotr
2.3|Absalon Franciszek Halszka Helena Henryk Januaria Krzysztof Lew Michał Paweł Piotr Radosław Symplicjusz
3.3|Asteriusz Hieronim Kunegunda Lucjola Maryna Wierzchosława
4.3|Adrian Adrianna Arkadiusz Arkady Eugeniusz Kazimierz Lew Lucja Lucjusz Łucja Wacław Wacława
5.3|Adrian Adrianna Fryderyk Jan Pakosław Pakosz Wacław Wacława
6.3|Eugenia Felicyta Frydolin Jordan Klaudian Koleta Róża Wiktor Wiktoriusz Wojsław
7.3|Felicja Nadmir Paweł Polikarp Tomasz
8.3|Beata Filemon Jan Julian Miligost Miłogost Stefan Wincenty
9.3|Apollo Dominik Franciszka Katarzyna Mścisława Prudencjusz Taras
10.3|Aleksander Bożysław Cyprian Makary Marceli Porfirion
11.3|Benedykt Drogosława Edwin Kandyd Konstanty Konstantyn Prokop Rozyna Sofroniusz
12.3|Bernard Blizbor Grzegorz Józefina Wasyl
13.3|Bożena Ernest Ernestyn Kasjan Krystyna Marek Roderyk Rodryg Rodryk Trzebisław
14.3|Bożeciecha Jakub Leon Matylda Mechtylda Michał
15.3|Gościmir Heloiza Klemens Krzysztof Longinus Ludwika
16.3|Abraham Cyriak Henryka Herbert Hiacynt Hilary Izabela Oktawia
17.3|Gertruda Harasym Jan Patrycjusz Patryk Regina Rena Zbigniew Zbygniew Zbyszko
18.3|Aleksander Anzelm Boguchwał Cyryl Edward Narcyz Narcyza Salwator
19.3|Bogdan Józef
20.3|Aleksander Aleksandra Ambroży Anatol Bogusław Cyriaka Eufemia Klaudia Patrycjusz Ruprecht Wasyl Wincenty
21.3|Benedykt Filemon Lubomira Mikołaj
22.3|Bazylissa Bogusław Godzisław Katarzyna Kazimierz Paweł
23.3|Eberhard Feliks Katarzyna Kondrat Oktawian Pelagia Pelagiusz Piotr Zbysław
24.3|Dziersława Dzierżysława Gabor Gabriel Marek Sewer Sofroniusz Szymon
25.3|Dyzma Ireneusz Lucja Lutomysł Łucja Maria Mariola Wieńczysław
26.3|Emanuel Feliks Larysa Manuela Nikifor Teodor Tworzymir
27.3|Benedykt Ernest Ernestyn Jan Lidia Rościmir Rupert
28.3|Aniela Antoni Jan Krzesisław Sykstus
29.3|Cyryl Czcirad Eustachiusz Eustachy Ostap Wiktoryn
30.3|Amelia Aniela Częstobor Jan Kwiryn Kwiryna
31.3|Amos Balbina Beniamin Dobromira Gwidon Kirył Korneli Kornelia
1.4|Chryzant Grażyna Hugo Hugon Katarzyna Teodora Tolisław Zbigniew Zbyszko
2.4|Franciszek Sądomir Urban Władysław Władysława
3.4|Antoni Cieszygor Jakub Pankracy Ryszard
4.4|Ambroży Bazyli Benedykt Izydor Wacław Wacława Zdzimir
5.4|Borzywoj Irena Wincenty
6.4|Ada Adam Adamina Celestyn Celestyna Diogenes Ireneusz Katarzyna Sykstus Świętobor Wilhelm Zachariasz
7.4|Donat Donata Epifaniusz Hegezyp Herman Przecław Rufin
8.4|Apolinary Cezary Cezaryna Dionizy Gawryła January Radosław Sieciesława
9.4|Dobrosława Dymitr Maja Marceli Matron
10.4|Antoni Apoloniusz Daniel Ezechiel Grodzisław Henryk Makary Małgorzata Michał Pompejusz
11.4|Filip Herman Jaromir Leon Marek
12.4|Andrzej Iwan Juliusz Siemiodrog Wiktor Wiktoriusz Zenon Zenona
13.4|Hermenegild Hermenegilda Ida Jan Justyn Małgorzata Przemysł Przemysław
14.4|Berenike Julianna Justyn Maria Myślimir Tyburcjusz Walerian Waleriana
15.4|Anastazja Bazyli Leonid Ludwina Modest Olimpia Tytus Wacław Wacława Wiktoryn Wszegniew
16.4|Benedykt Bernadetta Cecyl Cecylian Charyzjusz Erwin Erwina Julia Ksenia Lambert Lamberta Nikita Nosisław Patrycy Urban
17.4|Anicet Innocenta Innocenty Jakub Józef Klara Radociech Robert Roberta Rudolf Rudolfa Rudolfina Stefan
18.4|Apoloniusz Bogusław Bogusława Flawiusz Gościsław
19.4|Adolf Adolfa Adolfina Alf Cieszyrad Czech Czechasz Czechoń Czesław Leon Leontyna Pafnucy Tymon Werner Włodzimierz
20.4|Agnieszka Amalia Czech Czechasz Czechoń Czesław Florencjusz Florenty Nawoj Sulpicjusz Szymon Teodor
21.4|Addar Anzelm Bartosz Drogomił Feliks Irydion Konrad Konrada Selma
22.4|Heliodor Kajus Leonia Leonid Łukasz Soter Strzeżymir Teodor
23.4|Adalbert Gerard Gerarda Gerhard Helena Jerzy Wojciech
24.4|Aleksander Aleksy Egbert Erwin Erwina Fidelis Grzegorz Horacjusz Horacy Zbroimir
25.4|Jarosław Marek Wasyl
26.4|Artemon Klaudiusz Klet Marcelin Marcelina Maria Marzena Spycimir
27.4|Anastazy Andrzej Bożebor Kanizjusz Martyn Piotr Teofil Zyta
28.4|Arystarch Maria Paweł Przybyczest Waleria Witalis
29.4|Angelina Augustyn Bogusław Hugo Hugon Paulin Piotr Rita Robert Roberta Sybilla
30.4|Bartłomiej Chwalisława Eutropiusz Jakub Katarzyna Lilla Marian
1.5|Aniela Filip Jakub Jeremi Jeremiasz Józef Lubomir
2.5|Afanazy Anatol Atanazy Longin Longina Walenty Walter Witomir Zygmunt
3.5|Aleksander Antonina Maria Mariola Świętosława
4.5|Florian Grzegorz January Michał Monika Paulin Strzeżywoj
5.5|Irena Ita Pius Teodor Waldemar Zdzibor
6.5|Benedykta Benita Dytrych Gościwit Jan Judyta Jurand
7.5|Benedykt Bogumir Domicela Flawia Florian Gizela Gustawa Ludmiła Ludomiła Sawa Wincenta
8.5|Dezyderia Ilza Marek Michał Piotr Stanisław
9.5|Beatus Bożydar Grzegorz Job Karolina Mikołaj
10.5|Antonin Częstomir Izydor Jan Symeon Wiktoryna
11.5|Adalbert Benedykt Filip Franciszek Iga Ignacja Ignacy Lew Lutogniew Mamert Mira
12.5|Domicela Domicjan Dominik Epifani Flawia Jan Jazon Joanna Pankracy Wszemił
13.5|Andrzej Aron Ciechosław Gloria Magdalena Piotr Robert Roberta Serwacy
14.5|Bonifacy Bończa Dobiesław Jeremi Jeremiasz Wiktor Wiktoriusz
